######################################
## Cross section in pb for datasets
##

# from XSDB, agrees with Tamas's number, except 1000pT, couldn't find on XSDB
HSCPpairStau_M-1218_TuneCP5_13TeV-pythia8       5.7e-07 
HSCPpairStau_M-1409_TuneCP5_13TeV-pythia8       5.7e-07
HSCPpairStau_M-1599_TuneCP5_13TeV-pythia8       5.7e-07

### stop xsec: https://github.com/fuenfundachtzig/xsec/blob/master/json/pp13_stopsbottom_NNLO%2BNNLL.json
HSCPstopOnlyNeutral_M-1000_TuneCP5_13TeV-pythia8                      0.00683
HSCPstopOnlyNeutral_M-100_TuneCP5_13TeV-pythia8                      1770.0
HSCPstopOnlyNeutral_M-1200_TuneCP5_13TeV-pythia8                      0.0017
HSCPstopOnlyNeutral_M-1400_TuneCP5_13TeV-pythia8                      0.000473
HSCPstopOnlyNeutral_M-1600_TuneCP5_13TeV-pythia8                      0.000142
HSCPstopOnlyNeutral_M-1800_TuneCP5_13TeV-pythia8                      4.51e-05
HSCPstopOnlyNeutral_M-2000_TuneCP5_13TeV-pythia8                      1.48e-05
HSCPstopOnlyNeutral_M-200_TuneCP5_13TeV-pythia8                      75.5
HSCPstopOnlyNeutral_M-2200_TuneCP5_13TeV-pythia8                      5e-06
HSCPstopOnlyNeutral_M-2400_TuneCP5_13TeV-pythia8                      1.71e-06
HSCPstopOnlyNeutral_M-2600_TuneCP5_13TeV-pythia8                      5.9e-07
HSCPstopOnlyNeutral_M-400_TuneCP5_13TeV-pythia8                      2.15
HSCPstopOnlyNeutral_M-500_TuneCP5_13TeV-pythia8                      0.609
HSCPstopOnlyNeutral_M-800_TuneCP5_13TeV-pythia8                      0.0326
HSCPstop_M-1000_TuneCP5_13TeV-pythia8                      0.00683
HSCPstop_M-100_TuneCP5_13TeV-pythia8                      1770.0
HSCPstop_M-1200_TuneCP5_13TeV-pythia8                      0.0017
HSCPstop_M-1400_TuneCP5_13TeV-pythia8                      0.000473
HSCPstop_M-1600_TuneCP5_13TeV-pythia8                      0.000142
HSCPstop_M-1800_TuneCP5_13TeV-pythia8                      4.51e-05
HSCPstop_M-2000_TuneCP5_13TeV-pythia8                      1.48e-05
HSCPstop_M-200_TuneCP5_13TeV-pythia8                      75.5
HSCPstop_M-2200_TuneCP5_13TeV-pythia8                      5e-06
HSCPstop_M-2400_TuneCP5_13TeV-pythia8                      1.71e-06
HSCPstop_M-2600_TuneCP5_13TeV-pythia8                      5.9e-07
HSCPstop_M-400_TuneCP5_13TeV-pythia8                      2.15
HSCPstop_M-500_TuneCP5_13TeV-pythia8                      0.609
HSCPstop_M-800_TuneCP5_13TeV-pythia8                      0.0326


#### normalized to 1pb for now

HSCPtauPrimeCharge1e_M-1000_TuneCP5_13TeV-pythia8                      7.6e-05
HSCPtauPrimeCharge1e_M-1400_TuneCP5_13TeV-pythia8                      8.5e-06
HSCPtauPrimeCharge1e_M-1800_TuneCP5_13TeV-pythia8                      1.2e-06
HSCPtauPrimeCharge1e_M-2200_TuneCP5_13TeV-pythia8                      8.2e-07
HSCPtauPrimeCharge1e_M-2600_TuneCP5_13TeV-pythia8                     1.2e-07
HSCPtauPrimeCharge1e_M-500_TuneCP5_13TeV-pythia8                      1.2e-03
HSCPtauPrimeCharge1e_M-800_TuneCP5_13TeV-pythia8                      2.6e-04

HSCPtauPrimeCharge2e_M-1000_TuneCP5_13TeV-pythia8                      2.4e-04
HSCPtauPrimeCharge2e_M-1400_TuneCP5_13TeV-pythia8                      2.7e-05
HSCPtauPrimeCharge2e_M-1800_TuneCP5_13TeV-pythia8                      3.9e-06
HSCPtauPrimeCharge2e_M-2200_TuneCP5_13TeV-pythia8                      8.2e-07
HSCPtauPrimeCharge2e_M-2600_TuneCP5_13TeV-pythia8                      1.2e-07
HSCPtauPrimeCharge2e_M-500_TuneCP5_13TeV-pythia8                      3.5e-03

#2017 samples, xsec taken from AN-18-008
ZToMuMu_NNPDF31_13TeV-powheg_M_50_120                           2112.9
ZToMuMu_NNPDF31_13TeV-powheg_M_120_200                          20.55
ZToMuMu_NNPDF31_13TeV-powheg_M_200_400                          2.889
ZToMuMu_NNPDF31_13TeV-powheg_M_400_800                          0.251
ZToMuMu_NNPDF31_13TeV-powheg_M_800_1400                         1.707e-2
ZToMuMu_NNPDF31_13TeV-powheg_M_1400_2300                        1.37e-3
ZToMuMu_NNPDF31_13TeV-powheg_M_2300_3500                        1
ZToMuMu_NNPDF31_13TeV-powheg_M_3500_4500                        1
ZToMuMu_NNPDF31_13TeV-powheg_M_4500_6000                        1
ZToMuMu_NNPDF31_13TeV-powheg_M_6000_Inf                         1


QCD_HT1000to1500_TuneCP5_13TeV-madgraphMLM-pythia8                  1005
QCD_HT700to1000_TuneCP5_13TeV-madgraphMLM-pythia8                           5962

#13 TeV Spring 15 MC
QCD_Pt-15to7000_TuneCUETP8M1_Flat_13TeV_pythia8                            2022100000.0
QCD_HT50to100_TuneCUETP8M1_13TeV-madgraphMLM-pythia8                        2.486e+08
QCD_HT100to200_TuneCUETP8M1_13TeV-madgraphMLM-pythia8                        27990000.0
QCD_HT200to300_TuneCUETP8M1_13TeV-madgraphMLM-pythia8                         1712000
QCD_HT300to500_TuneCUETP8M1_13TeV-madgraphMLM-pythia8                          347700
QCD_HT500to700_TuneCUETP8M1_13TeV-madgraphMLM-pythia8                           32100
QCD_HT700to1000_TuneCUETP8M1_13TeV-madgraphMLM-pythia8                           6831
QCD_HT1000to1500_TuneCUETP8M1_13TeV-madgraphMLM-pythia8                          1207
QCD_HT1500to2000_TuneCUETP8M1_13TeV-madgraphMLM-pythia8                           119.9
QCD_HT2000toInf_TuneCUETP8M1_13TeV-madgraphMLM-pythia8                             25.24
QCD_Pt-15to20_MuEnrichedPt5_TuneCUETP8M1_13TeV_pythia8                     1273190000*0.003
QCD_Pt-20to30_MuEnrichedPt5_TuneCUETP8M1_13TeV_pythia8                      558528000*0.0053
QCD_Pt-30to50_MuEnrichedPt5_TuneCUETP8M1_13TeV_pythia8                      139803000*0.01182
QCD_Pt-50to80_MuEnrichedPt5_TuneCUETP8M1_13TeV_pythia8                       19222500*0.02276
QCD_Pt-80to120_MuEnrichedPt5_TuneCUETP8M1_13TeV_pythia8                       2758420*0.03844
QCD_Pt-120to170_MuEnrichedPt5_TuneCUETP8M1_13TeV_pythia8                       469797*0.0536
QCD_Pt-170to300_MuEnrichedPt5_TuneCUETP8M1_13TeV_pythia8                       117989*0.07335
QCD_Pt-300to470_MuEnrichedPt5_TuneCUETP8M1_13TeV_pythia8                      7820.25*0.10196
QCD_Pt-470to600_MuEnrichedPt5_TuneCUETP8M1_13TeV_pythia8                      645.528*0.12242
QCD_Pt-600to800_MuEnrichedPt5_TuneCUETP8M1_13TeV_pythia8                      187.109*0.13412
QCD_Pt-800to1000_MuEnrichedPt5_TuneCUETP8M1_13TeV_pythia8                     32.3486*0.14552
QCD_Pt-1000toInf_MuEnrichedPt5_TuneCUETP8M1_13TeV_pythia8                     10.4305*0.15544
QCD_Pt-20toInf_MuEnrichedPt15_TuneCUETP8M1_13TeV_pythia8                    720648000*0.00042
QCD_Pt-15to20_EMEnriched_TuneCUETP8M1_13TeV_pythia8                        1279000000*0.0018
QCD_Pt-20to30_EMEnriched_TuneCUETP8M1_13TeV_pythia8                         557600000*0.0096
QCD_Pt-30to50_EMEnriched_TuneCUETP8M1_13TeV_pythia8                         136000000*0.073
QCD_Pt-50to80_EMEnriched_TuneCUETP8M1_13TeV_pythia8                          19800000*0.146
QCD_Pt-80to120_EMEnriched_TuneCUETP8M1_13TeV_pythia8                          2800000*0.125
QCD_Pt-120to170_EMEnriched_TuneCUETP8M1_13TeV_pythia8                          477000*0.132
QCD_Pt-170to300_EMEnriched_TuneCUETP8M1_13TeV_pythia8                          114000*0.165
QCD_Pt-300toInf_EMEnriched_TuneCUETP8M1_13TeV_pythia8                            9000*0.15
QCD_Pt_5to10_TuneCUETP8M1_13TeV_pythia8                                   61018300000
QCD_Pt_10to15_TuneCUETP8M1_13TeV_pythia8                                   5887580000
QCD_Pt_15to30_TuneCUETP8M1_13TeV_pythia8                                   1837410000
QCD_Pt_30to50_TuneCUETP8M1_13TeV_pythia8                                    140932000
QCD_Pt_50to80_TuneCUETP8M1_13TeV_pythia8                                     19204300
QCD_Pt_80to120_TuneCUETP8M1_13TeV_pythia8                                     2762530
QCD_Pt_120to170_TuneCUETP8M1_13TeV_pythia8                                     471100
QCD_Pt_170to300_TuneCUETP8M1_13TeV_pythia8                                     117276
QCD_Pt_300to470_TuneCUETP8M1_13TeV_pythia8                                       7823
QCD_Pt_470to600_TuneCUETP8M1_13TeV_pythia8                                        648.2
QCD_Pt_600to800_TuneCUETP8M1_13TeV_pythia8                                        186.9
QCD_Pt_800to1000_TuneCUETP8M1_13TeV_pythia8                                        32.293
QCD_Pt_1000to1400_TuneCUETP8M1_13TeV_pythia8                                        9.4183
QCD_Pt_1400to1800_TuneCUETP8M1_13TeV_pythia8                                        0.84265
QCD_Pt_1800to2400_TuneCUETP8M1_13TeV_pythia8                                        0.12163
QCD_Pt_2400to3200_TuneCUETP8M1_13TeV_pythia8                                        0.00682981
QCD_Pt_3200toInf_TuneCUETP8M1_13TeV_pythia8                                         0.000165445
GJets_HT-40To100_TuneCUETP8M1_13TeV-madgraphMLM-pythia8                         20790.0
GJets_HT-100To200_TuneCUETP8M1_13TeV-madgraphMLM-pythia8                         9238.0
GJets_HT-200To400_TuneCUETP8M1_13TeV-madgraphMLM-pythia8                         2305
GJets_HT-400To600_TuneCUETP8M1_13TeV-madgraphMLM-pythia8                          274.4
GJets_HT-600ToInf_TuneCUETP8M1_13TeV-madgraphMLM-pythia8                           93.46
GJets_DR-0p4_HT-40To100_TuneCUETP8M1_13TeV-madgraphMLM-pythia8                  18560
GJets_DR-0p4_HT-100To200_TuneCUETP8M1_13TeV-madgraphMLM-pythia8                  5000
GJets_DR-0p4_HT-200To400_TuneCUETP8M1_13TeV-madgraphMLM-pythia8                  1079
GJets_DR-0p4_HT-400To600_TuneCUETP8M1_13TeV-madgraphMLM-pythia8                   125.9
GJets_DR-0p4_HT-600ToInf_TuneCUETP8M1_13TeV-madgraphMLM-pythia8                    43.36
WJetsToLNu_HT-70To100_TuneCP5_13TeV-madgraphMLM-pythia8                    1319*1.21
WJetsToLNu_HT-100To200_TuneCP5_13TeV-madgraphMLM-pythia8            1395
WJetsToLNu_HT-200To400_TuneCP5_13TeV-madgraphMLM-pythia8            409.3
WJetsToLNu_HT-400To600_TuneCP5_13TeV-madgraphMLM-pythia8            57.91
WJetsToLNu_HT-600To800_TuneCP5_13TeV-madgraphMLM-pythia8            12.93
WJetsToLNu_HT-800To1200_TuneCP5_13TeV-madgraphMLM-pythia8           5.935
WJetsToLNu_HT-1200To2500_TuneCP5_13TeV-madgraphMLM-pythia8          1.08
WJetsToLNu_HT-2500ToInf_TuneCP5_13TeV-madgraphMLM-pythia8           0.008053
WJetsToLNu_TuneCP5_13TeV-madgraphMLM-pythia8                    56000
WJetsToLNu_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8                              61526.7
WJetsToLNu_0J_TuneCP5_13TeV-amcatnloFXFX-pythia8                  5547
WJetsToLNu_1J_TuneCP5_13TeV-amcatnloFXFX-pythia8                  8018
WJetsToLNu_2J_TuneCP5_13TeV-amcatnloFXFX-pythia8                  1940
WJetsToLNu_HT-70To100_TuneCUETP8M1_13TeV-madgraphMLM-pythia8                    1319*1.21
WJetsToLNu_HT-100To200_TuneCUETP8M1_13TeV-madgraphMLM-pythia8                    1345*1.21
WJetsToLNu_HT-200To400_TuneCUETP8M1_13TeV-madgraphMLM-pythia8                     359.7*1.21
WJetsToLNu_HT-400To600_TuneCUETP8M1_13TeV-madgraphMLM-pythia8                      48.91*1.21
WJetsToLNu_HT-600To800_TuneCUETP8M1_13TeV-madgraphMLM-pythia8                      12.05*1.21
WJetsToLNu_HT-800To1200_TuneCUETP8M1_13TeV-madgraphMLM-pythia8                      5.501*1.21
WJetsToLNu_HT-1200To2500_TuneCUETP8M1_13TeV-madgraphMLM-pythia8                     1.329*1.21
WJetsToLNu_HT-2500ToInf_TuneCUETP8M1_13TeV-madgraphMLM-pythia8                      0.03216*1.21
WJetsToLNu_HT-600ToInf_TuneCUETP8M1_13TeV-madgraphMLM-pythia8                      18.77*1.21
WJetsToLNu_Wpt-0To50_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8                    57280
WJetsToLNu_Wpt-50To100_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8                   3258
WJetsToLNu_Pt-100To250_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8                    676.3
WJetsToLNu_Pt-250To400_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8                     23.94
WJetsToLNu_Pt-400To600_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8                      3.031
WJetsToLNu_Pt-600ToInf_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8                      0.4524
DYJetsToLL_M-10to50_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8                     18610.0
DYJetsToLL_M-50_HT-70to100_TuneCUETP8M1_13TeV-madgraphMLM-pythia8                  175.3*1.23
DYJetsToLL_M-50_HT-100to200_TuneCUETP8M1_13TeV-madgraphMLM-pythia8                147.40*1.23
DYJetsToLL_M-50_HT-200to400_TuneCUETP8M1_13TeV-madgraphMLM-pythia8                 40.99*1.23
DYJetsToLL_M-50_HT-400to600_TuneCUETP8M1_13TeV-madgraphMLM-pythia8                  5.678*1.23
DYJetsToLL_M-50_HT-600toInf_TuneCUETP8M1_13TeV-madgraphMLM-pythia8                  2.198*1.23
DYJetsToLL_M-50_HT-600to800_TuneCUETP8M1_13TeV-madgraphMLM-pythia8                  1.367*1.23
DYJetsToLL_M-50_HT-800to1200_TuneCUETP8M1_13TeV-madgraphMLM-pythia8                 0.6304*1.23
DYJetsToLL_M-50_HT-1200to2500_TuneCUETP8M1_13TeV-madgraphMLM-pythia8                0.1514*1.23
DYJetsToLL_M-50_HT-2500toInf_TuneCUETP8M1_13TeV-madgraphMLM-pythia8                 0.003565*1.23
DYJetsToLL_M-50_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8                          1921.8*3
DYJetsToLL_M-50_TuneCUETP8M1_13TeV-madgraphMLM-pythia8                           1921.8*3
DYJetsToLL_M-5to50_HT-100to200_TuneCUETP8M1_13TeV-madgraphMLM-pythia8             224.2*1.23
DYJetsToLL_M-5to50_HT-200to400_TuneCUETP8M1_13TeV-madgraphMLM-pythia8              37.19*1.23
DYJetsToLL_M-5to50_HT-400to600_TuneCUETP8M1_13TeV-madgraphMLM-pythia8               3.581*1.23
DYJetsToLL_M-5to50_HT-600toInf_TuneCUETP8M1_13TeV-madgraphMLM-pythia8               1.124*1.23
ZJetsToNuNu_HT-100To200_13TeV-madgraph                                            280.35*1.23
ZJetsToNuNu_HT-200To400_13TeV-madgraph                                             77.67*1.23
ZJetsToNuNu_HT-400To600_13TeV-madgraph                                             10.73*1.23
ZJetsToNuNu_HT-600ToInf_13TeV-madgraph                                              4.116*1.23
ZJetsToNuNu_HT-600To800_13TeV-madgraph                                              2.559*1.23
ZJetsToNuNu_HT-800To1200_13TeV-madgraph                                             1.1796*1.23
ZJetsToNuNu_HT-1200To2500_13TeV-madgraph                                            0.28833*1.23
ZJetsToNuNu_HT-2500ToInf_13TeV-madgraph                                             0.006945*1.23
ZJetsToNuNu_Zpt-200toInf_TuneCUETP8M1_13TeV-madgraphMLM-pythia8              4.28



DYJetsToNuNu_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8                             3811.0*3
DYJetsToNuNu_Zpt-0To50_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8                   3483.0*3
DYJetsToNuNu_PtZ-50To100_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8                  237.2*3
DYJetsToNuNu_PtZ-100To250_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8                  55.03*3
DYJetsToNuNu_PtZ-250To400_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8                   2.082*3
DYJetsToNuNu_PtZ-400To650_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8                   0.2816*3
DYJetsToNuNu_PtZ-650ToInf_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8                   0.02639*3
DYJetsToLL_Zpt-0To50_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8                     5451.0
DYJetsToLL_Pt-50To100_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8                     354.8
DYJetsToLL_Pt-100To250_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8                     81.22
DYJetsToLL_Pt-250To400_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8                      2.991
DYJetsToLL_Pt-400To650_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8                      0.3882
DYJetsToLL_Pt-650ToInf_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8                      0.03737
TTJets_HT-600to800_TuneCUETP8M1_13TeV-madgraphMLM-pythia8                           1.61
TTJets_HT-800to1200_TuneCUETP8M1_13TeV-madgraphMLM-pythia8                          0.663
TTJets_HT-1200to2500_TuneCUETP8M1_13TeV-madgraphMLM-pythia8                         0.12
TTJets_HT-2500toInf_TuneCUETP8M1_13TeV-madgraphMLM-pythia8                          0.00143
TTJets_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8                                    670.3*1.24088
TTJets_TuneCUETP8M1_13TeV-amcatnloFXFX-scaleup-pythia8                            670.3*1.24088
TTJets_TuneCUETP8M1_13TeV-madgraphMLM-pythia8                                     502.2*1.65623
TTJets_SingleLeptFromTbar_TuneCUETP8M1_13TeV-madgraphMLM-pythia8                  110.0*1.65623
TTJets_SingleLeptFromT_TuneCUETP8M1_13TeV-madgraphMLM-pythia8                     110.0*1.65623
TTJets_DiLept_TuneCUETP8M1_13TeV-madgraphMLM-pythia8                               52.72*1.65623
TTJets_SingleLeptFromT_TuneCUETP8M2T4_13TeV-amcatnloFXFX-pythia8                  146.34
TTJets_SingleLeptFromTbar_TuneCUETP8M2T4_13TeV-amcatnloFXFX-pythia8               146.34
TTJets_Dilept_TuneCUETP8M2T4_13TeV-amcatnloFXFX-pythia8                            70.14
TTJets_SingleLeptFromTbar_genMET-150_TuneCUETP8M1_13TeV-madgraphMLM-pythia8    5.936
TTTo2L2Nu_TuneCUETP8M2_ttHtranche3_13TeV-powheg-pythia8                            87.31
TTToSemilepton_TuneCUETP8M2_ttHtranche3_13TeV-powheg-pythia8                      320.1
ST_s-channel_4f_leptonDecays_13TeV-amcatnlo-pythia8_TuneCUETP8M1                    3.36
ST_t-channel_4f_leptonDecays_13TeV-amcatnlo-pythia8_TuneCUETP8M1                   70.69
ST_t-channel_4f_scaledown_leptonDecays_13TeV-amcatnlo-pythia8_TuneCUETP8M1         70.69
ST_t-channel_4f_scaleup_leptonDecays_13TeV-amcatnlo-pythia8_TuneCUETP8M1           70.69
ST_t-channel_5f_leptonDecays_13TeV-amcatnlo-pythia8_TuneCUETP8M1                   70.69
ST_t-channel_antitop_4f_leptonDecays_13TeV-powheg-pythia8_TuneCUETP8M1             81.42*0.324
ST_t-channel_antitop_4f_inclusiveDecays_13TeV-powhegV2-madspin-pythia8_TuneCUETP8M1 81.42
ST_t-channel_top_4f_leptonDecays_13TeV-powheg-pythia8_TuneCUETP8M1                136.82*0.324
ST_t-channel_top_4f_inclusiveDecays_13TeV-powhegV2-madspin-pythia8_TuneCUETP8M1   136.82
ST_tW_antitop_5f_DS_inclusiveDecays_13TeV-powheg-pythia8_TuneCUETP8M1              35.85
ST_tW_antitop_5f_inclusiveDecays_13TeV-powheg-pythia8_TuneCUETP8M1                 35.85
ST_tW_top_5f_DS_inclusiveDecays_13TeV-powheg-pythia8_TuneCUETP8M1                  35.85
ST_tW_top_5f_inclusiveDecays_13TeV-powheg-pythia8_TuneCUETP8M1                     35.85
ST_tW_antitop_5f_NoFullyHadronicDecays_13TeV-powheg_TuneCUETP8M1                   35.85*0.546
ST_tW_top_5f_NoFullyHadronicDecays_13TeV-powheg_TuneCUETP8M1                       35.85*0.546
WJetsToQQ_HT-600ToInf_TuneCUETP8M1_13TeV-madgraphMLM-pythia8                       95.14
WW_TuneCUETP8M1_13TeV-pythia8                                                      63.21*1.878
WWTo4Q_13TeV-powheg                                                                51.723
WWToLNuQQ_13TeV-powheg                                                             49.997
WWTo2L2Nu_13TeV-powheg                                                             12.178
WZTo1L1Nu2Q_13TeV_amcatnloFXFX_madspin_pythia8                                     10.71
WZTo1L3Nu_13TeV_amcatnloFXFX_madspin_pythia8                                        3.03
WZTo2L2Q_13TeV_amcatnloFXFX_madspin_pythia8                                         5.595
WZTo3LNu_TuneCUETP8M1_13TeV-powheg-pythia8                                          4.42965
WZTo3LNu_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8                                    4.42965
WZJets_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8                                      5.26
WZ_TuneCUETP8M1_13TeV-pythia8                                                      47.13
ZZTo2L2Q_13TeV_amcatnloFXFX_madspin_pythia8                                         3.22
ZZTo2L2Nu_13TeV_powheg_pythia8                                                      0.564
ZZTo2Q2Nu_13TeV_amcatnloFXFX_madspin_pythia8                                        4.04
ZZTo4L_13TeV-amcatnloFXFX-pythia8                                                   1.212
ZZTo4L_13TeV_powheg_pythia8                                                         1.256
ZZTo4Q_13TeV_amcatnloFXFX_madspin_pythia8                                           6.842
ZZ_TuneCUETP8M1_13TeV-pythia8                                                      16.523
WWJJToLNuQQ_LT_13TeV-madgraph-pythia8                                              25.973
WWW_4F_TuneCUETP8M1_13TeV-amcatnlo-pythia8                                          0.2086
WZZ_TuneCUETP8M1_13TeV-amcatnlo-pythia8                                             0.05565
WWZ_TuneCUETP8M1_13TeV-amcatnlo-pythia8                                             0.1651
WWZJetsTo4L2Nu_4f_TuneCUETP8M1_13TeV_aMCatNLOFxFx_pythia8                           0.1651*0.003179651616
ZZZ_TuneCUETP8M1_13TeV-amcatnlo-pythia8                                             0.01398
TTTT_TuneCUETP8M1_13TeV-amcatnlo-pythia8                                            0.009103
ttZJets_13TeV_madgraphMLM                                                           0.659
ttWJets_13TeV_madgraphMLM                                                           0.508
